Title,Cleaned_Title
Co-Founder and Chairman,Chairman
Talent Business Partner,Talent Business Partner
"Founder, Co-CEO",Founder
Founder & Partner,Founder
"Founder, CTO, AI and Data Architect",Founder
"Founder, CTO",Founder
Founder @ Mojo Supermarket | Small Agency,Founder
"GP | Managing Partner, Renew Venture Capital Impact Fund",Managing Partner
Founding Partner Avaana Climate Sustainability Fund,Founding Partner
Founder / Managing General Partner,Founder
"Founder, Teens in AI",Founder
Founder/Managing Recruiting Partner,Founder
Founder / Publisher,Founder
Founder / Director - 20 Years Recruiting for the Contact Centre & Customer Service Industries,Founder
Founders Associate,Founders Associate
Founders Pledge Member,Founders Pledge Member
"Founder, CEO and Chief Visionary Officer (CVO) at The Entrepreneur Nation®",Founder
Founder Codefield | Where developers are home,Founder
Executive Chairman,Executive Chairman
Founder and Managing Director of The Lighthouse/Clinical Psychologist,Founder
Founder and Designer,Founder
Founder and Co-Managing Partner,Founder
Founder and Chief Content Strategist,Founder
"Founder | Blockchain, Cryptocurrency | Asset Management | Hedge Funds",Founder
Founder • Managing Director • Neurolanguage Coach Trainer • Corporate & Private Language Coach,Founder
"Founder, Best Seller Publishing | Ghostwriting, Book Promotion and PR Services - all in one",Founder
"Founder of Agile Developer, Inc. and Adjunct Professor",Founder
Founder of B Jolly Foundation,Founder
Founder of Europe's First Salesforce Recruitment business 🥇,Founder
General Partner at Flybridge. Co-Founder,Co-founder
Principal and Co-Founder,Co-Founder
RD Station Partner Executive Council Member 2023/2024,Partner
Recruitment Partner,Recruitment Partner
Senior Business Partner,Business Partner
Senior Global Talent Acquisition Partner,Talent Acquisition Partner
Senior Partner,Partner
Senior Partner - Automotive & E-Mobil,Partner
Senior Partner // Career Coach,Partner
Principal Talent Acquisition Partner,Talent Acquisition Partner
"Partner, tech division",Partner
Partner | Head of AI Innovation,Partner
"Partner, Executive Search",Partner
"Partner, Head of Customer Relations",Partner
"Partner, attorney",Partner
People Business Partner,People Business Partner
People and Talent Partner,People and Talent Partner
"President, COO, & Co-Founder",Co-Founder
VP of Customer & Partner Success,Vice President
Talent Partner,Talent Partner
Team Lead | Tech Recruiter & Business Partner,Business Partner
"VP - People Partner, Talent Management",Vice President
VP of Partner Ecosystem Growth Acceleration,Vice President
Venture Operating Partner,Partner
Venture Partner,Partner
Vice President & Partner,Vice President & Partner
 SHAZAMME Co-Founder | We've Created the Canva,Co-Founder
Senior Talent Partner - Central Teams & Executive Hiring,Talent Partner
Social Selling & Marketing Consultancy Founder,Founder
Talent Acquisition Leader & Founder,Founder
Partner Account Manager,Partner
Gründerin und CEO,Founder
Head of US Market,Head of Marketing
IT Business Partner,Business Partner
LP & Operating Partner,Operating Partner
General Partner and Co-Founder,Co-Founder
Global Director of Growth | Partner,Partner
Operating Partner & MD,Operating Partner & MD
Managing Partner/Co-Founder,Co-Founder
Partner & Founder W Executive - Executive Search CFO/M&A/Private Equity,Founder
Partner & Operations Director,Partner & Operations Director
Managing Partner | Senior Technology Recruiter,Managing Partner
MD & Co-Founder,Co-Founder
Managing Partner (US/UK/EU) + Global Head of Origination,Managing Partner
Co-Founder & CRO,Co-Founder
Co-Founder & Chairwoman,Co-Founder
Co-Founder & Chief Instigator,Co-Founder
Co-Founder & Board Member,Co-Founder
Co Founder JamarGig,Co-Founder
Co-Founder and Chairman,Co-Founder
"Co Founder, CEO",Co-Founder
Co founder and Partner,Co-Founder and Partner
Chief Sales Officer / Founder,Founder
Chief Sourcing Officer and Co-Founder,Co-Founder
Cloud Partner Engineer,Cloud Partner Engineer
Co-CEO and Director (Founder),Founder Director
Co-Founder & General Partner,Co-Founder
Co-Founder and Chief Architect,Co-Founder
Co-Founder and Board Member,Co-Founder
Co-Founder & Head of Partnerships,Co-Founder
Co-Founder and Executive Partner,Co-Founder
Co-Founder and General Partne,Co-Founder
Co-Founder / Fractional Leader,Co-Founder
"Co-Founder - AI Operations, AI Strategy, Product Development/Delivery",Co-Founder
Co-Founder - CEO,Co-Founder
"Chief People Officer, Fractional CHRO ,Thrive and Thrive Live Founder",Chief People Officer
CEO - Co Founder,Co-Founder
"CEO ,Co Founder",Co-Founder
CEO / CFO and Founder,Founder
CEO / Co-Founder,Co-Founder
Agency Project Management with Tangible ROI | Founder,Founder
Arquiteta de Software | Founder Decoder,Founder
Assistant Manager - People Practices (HR Business Partner),HR Business Partner
"Founder, Co-CEO @Interfell",Founder
Founder and Chief Architect,Founder
Founder and Co-CEO,Founder
"Founder and Executive Chairman, LTSE",Founder
Founder | CBO at Crumbl Cookies,Founder
Founder and Principal,Founder
"Founder and President - Leadership, Career and Life Coach",Founder
Partner Engineer,Partner Engineer
Partner Account Manager,Partner Account Manager
Managing Partner/Founder,Founder
Managing Partner & Founder,Founder
Co-CEO and Founder,Founder
Co-Founder & Chief Sales Officer,Founder
Co-Founder & Executive Chairman,Co-Founder
Co-Founder and Head Of Strategy,Co-Founder
CCO & Founder,Founder
"CEO and Founder, Industry Analyst, Marketing Accelerator, Product Marketing Coach",Founder
Equity Partner,Equity Partner
"Chairman, President",Chairman
"Chairperson, President",Chairperson
"Chairman,CEO",Chairman
Chief Executive Officer (CEO) - Founder,Founder
CPO,CPO
CIO & Co-Founder,Co-Founder
CMO / Co-founder,Co-Founder
COO & Co-Founder,Co-Founder
"Founder & CEO, General Partner of the Fund",Founder
Founder & CEO/ Revenue Opetations:Digital Transformation/ Martech and Salestech,Founder
Founder & Board Director,Founder
Executive Recruiter / Co-Founder,Co-Founder
Director of Sales & Marketing & Co-Founder,Co-Founder
Founder & Chief Analytics Architect,Founder
Executive Director & Co-Founder,Co-Founder
Founder & Rural Marketing Head,Founder
Founder - CPO,Founder
Founder & Chief Marketing Officer,Founder
Founder & Co-CEO,Founder
"Co-Founder, Director of Business Development",Co-Founder
Co-founder & Educational Institutions Relations Manager,Co-Founder
"Co-Founder, Chairman",Co-Founder
"Co-Founder, Business Development & Staff Augmentation Partnerships in AI & Web Development",Co-Founder
Cofounder nth Venture,Co-Founder
Creative Director / Founder,Founder
Creative Director / Partner,Creative Director and Partner
Digital Transformation Partner,Digital Transformation Partner
"Co-founder/Product Manager, Google Cloud Solutions Center",Co-Founder
Co-founder & Strategic Advisor,Co-Founder
Co-founder & managing partner,Co-Founder
